File Name  ThreadsCount SourceVertex SeqTime ParTime SpeedUp Status
largeEWD.txt 8 741917 41.3619 7.77568 5  1
largeEWD.txt 16 911912 44.2123 6.33469 6  1
largeEWD.txt 16 687995 43.5007 6.25689 6  1
largeEWD.txt 16 654923 42.1003 7.44682 5  1
largeEWD.txt 16 10663 42.4832 6.37975 6  1
largeEWD.txt 16 325738 41.9379 7.80673 5  1
largeEWD.txt 8 655129 41.8927 8.51393 4  1
largeEWD.txt 8 71353 42.5445 7.56646 5  1
largeEWD.txt 16 862087 42.5596 6.68698 6  1
largeEWD.txt 16 407293 43.4792 7.645 5  1
largeEWD.txt 16 421056 43.0973 7.45129 5  1
largeEWD.txt 8 412150 40.6749 8.16411 4  1
largeEWD.txt 16 610856 40.8397 6.10433 6  1
largeEWD.txt 16 427103 40.4134 7.45301 5  1
largeEWD.txt 16 254808 39.9861 5.50655 7  1
largeEWD.txt 16 345184 43.4544 6.92747 6  1
largeEWD.txt 16 978409 41.7144 6.11619 6  1
largeEWD.txt 16 803409 38.3777 5.989 6  1
largeEWD.txt 16 764877 38.4347 6.22506 6  1
largeEWD.txt 16 755277 37.4707 5.92712 6  1
