File Name  ThreadsCount SourceVertex SeqTime ParTime SpeedUp Status
largeEWD.txt 16 741917 38.7155 13.4963 2  1
largeEWD.txt 16 911912 45.0448 17.2184 2  1
largeEWD.txt 8 687995 50.4274 15.2706 3  1
largeEWD.txt 8 654923 49.4985 8.75473 5  1
largeEWD.txt 8 10663 46.8366 9.52794 4  1
largeEWD.txt 8 325738 44.2246 10.0044 4  1
largeEWD.txt 8 655129 48.8734 9.84652 4  1
largeEWD.txt 16 71353 49.1535 9.63518 5  1
largeEWD.txt 8 862087 42.9368 8.75878 4  1
largeEWD.txt 8 407293 41.5402 10.0398 4  1
largeEWD.txt 8 421056 41.6731 8.37672 4  1
largeEWD.txt 8 412150 42.4074 8.35094 5  1
largeEWD.txt 16 610856 49.1433 8.92496 5  1
largeEWD.txt 8 427103 42.1278 9.26716 4  1
largeEWD.txt 16 254808 49.5348 9.99232 4  1
largeEWD.txt 16 345184 49.1431 9.35573 5  1
largeEWD.txt 16 978409 49.7991 9.00444 5  1
largeEWD.txt 16 803409 49.3476 9.20052 5  1
largeEWD.txt 8 764877 44.8246 9.44916 4  1
largeEWD.txt 8 755277 49.713 8.56027 5  1
